"rule_touch_mth";"c_t_flag";"country";"rule_id";"rule_name";"region";"risk_sub_region";"rule_type";"group_flag";"cust_num";"hld_txn_amt";"hld_gloss";"hld_pp_nloss";"txn_amt";"gloss";"pp_nloss"
"1";"2013-10";"T";"CA";144688;"ALH_OFFEBAY_CA_90";"NA";"NA_CA";"Newbie";"001_ALH_OFFEBAY_CA_90";511;326036.2;10241.9000000815;929.90905835488;422802.32;11138.9400000905;993.89905835488
"2";"2013-04";"T";"CN|C2";167560;"ALH_OFFEBAY_CN_C2_email_only_Biz_Only";"APAC";"APAC_CN+C2";"Newbie";"022_ALH_OFFEBAY_CN_C2_email_only_Biz_Only";35;45060.35;1698.94000001;12.06;169751.25;1698.94000001;12.06
"3";"2013-08";"T";"CN|C2";167989;"ALH_OFFEBAY_CN_C2_WPS_only_Non_Biz";"APAC";"APAC_CN+C2";"Newbie";"013_ALH_OFFEBAY_CN_C2_WPS_only_Non_Biz";1360;3264704.18;363900.940005618;4695.96;4361157.34;398733.890006012;5118.65
"4";"2013-07";"C";"GB";117892;"ALH_ARS_masked2_nonbiz_GB_CG";"EMEA";"EMEA_UK";"ARS_Masked_ALH";"107_ALH_ARS_masked2_nonbiz_GB_CG";18;0;0;0;12395.82;2953.81000001341;1009.50063517819
"5";"2013-12";"T";"DE";164431;"ARS_DE_eBay_INR2";"EMEA";"EMEA_DE";"Newbie";"005_ARS_DE_eBay_INR2";194;62131.34;10258.6800000205;786.537229622364;274309.72;41111.454478164;2841.83917295685
"6";"2013-11";"C";"CN|C2";168076;"ALH_OFFEBAY_CN_C2_WPS_only_Control_Non_Biz";"APAC";"APAC_CN+C2";"Newbie";"013_ALH_OFFEBAY_CN_C2_WPS_only_Control_Non_Biz";995;152.97;8.000000001;0;2991886.91;514264.100008493;4699.14178473652
"7";"2014-01";"T";"US";138436;"ALH_ARS_masked1_nonbiz_US_22_43";"NA";"NA_US";"ARS_Masked_ALH";"102_ALH_ARS_masked1_nonbiz_US_22_43";3;5550;0;0;5685.4;0;0
"8";"2013-11";"C";"IE|IL";182682;"ALH_OFFEBAY_IE_IL_email_NonBiz_Only_Control";"EMEA";"EMEA_UK";"Newbie";"010_ALH_OFFEBAY_IE_IL_email_NonBiz_Only_Control";40;0;0;0;22203.64;497.1800000036;0.98550073937193
"9";"2013-11";"T";"DE";139472;"ALH_OFFEBAY_S4_DE_New";"EMEA";"EMEA_DE";"Newbie";"004_ALH_OFFEBAY_S4_DE_New";3586;936963.25;100608.301207415;8024.49457018645;1158918.03;115409.254787964;10290.1282244677
"10";"2013-06";"C";"CN|C2";144987;"ALH_OFFEBAY_IN_CN_C2_email_only_Control";"APAC";"APAC_CN+C2";"Newbie";"021_ALH_OFFEBAY_IN_CN_C2_email_only_Control";232;0;0;0;463919.12;34237.6200001885;3919.67
"11";"2014-01";"C";"IE|IL";182682;"ALH_OFFEBAY_IE_IL_email_NonBiz_Only_Control";"EMEA";"EMEA_UK";"Newbie";"010_ALH_OFFEBAY_IE_IL_email_NonBiz_Only_Control";26;0;0;0;7967.85;359.010000003728;8.09544469122104
"12";"2013-07";"T";"CN|C2";167989;"ALH_OFFEBAY_CN_C2_WPS_only_Non_Biz";"APAC";"APAC_CN+C2";"Newbie";"013_ALH_OFFEBAY_CN_C2_WPS_only_Non_Biz";1503;2761545.74;265352.370004616;3788.97925129085;3202127.02;276682.145004792;4017.27925129085
"13";"2013-10";"C";"SG|TH|VN|ID|MY|PH";168087;"ALH_OFFEBAY_TIER2_Control_Exclude_IN_WPS_only";"APAC";"APAC_SEA";"Newbie";"024_ALH_OFFEBAY_TIER2_Control_Exclude_IN_WPS_only";98;0;0;0;87860.23;13764.0300001257;5628.13952713399
"14";"2013-09";"C";"GB";117779;"ALH_OFFEBAY_S4_GB_Control_10_email_payments";"EMEA";"EMEA_UK";"Newbie";"008_ALH_OFFEBAY_S4_GB_Control_10_email_payments";234;37.63;0;0;130192.21;10444.7250001642;4462.46468197353
"15";"2013-11";"T";"DE";116830;"ALH_ARS_masked2_biz_DE";"EMEA";"EMEA_DE";"ARS_Masked_ALH";"109_ALH_ARS_masked2_biz_DE";24;15393.62;2034.73000000543;128.014622935829;17016.05;2170.60000000679;150.404087046681
"16";"2013-09";"T";"SG|TH|VN|ID|MY|PH|IN";148263;"ALH_OFFEBAY_Rest_Of_APAC_Test";"APAC";"APAC_SEA";"Newbie";"020_ALH_OFFEBAY_Rest_Of_APAC_Test";938;410633.04;42841.3000000926;7652.36454521477;671112.69;51306.7900001477;8413.98116718781
"17";"2014-01";"C";"US";148633;"ALH_ARS_masked2_biz_US_CG_90";"NA";"NA_US";"ARS_Masked_ALH";"113_ALH_ARS_masked2_biz_US_CG_90";52;0;0;0;69472.62;2931.100000005;902.78
"18";"2013-12";"C";"US";148633;"ALH_ARS_masked2_biz_US_CG_90";"NA";"NA_US";"ARS_Masked_ALH";"113_ALH_ARS_masked2_biz_US_CG_90";151;0;0;0;379813.58;9193.140000021;3533.23
"19";"2013-06";"T";"GB";150336;"ALH_ARS_masked1_biz_GB";"EMEA";"EMEA_UK";"ARS_Masked_ALH";"110_ALH_ARS_masked1_biz_GB";8;15925.6;422.330000003123;137.67;41667.16;422.330000003123;137.67
"20";"2013-11";"C";"GB";117892;"ALH_ARS_masked2_nonbiz_GB_CG";"EMEA";"EMEA_UK";"ARS_Masked_ALH";"107_ALH_ARS_masked2_nonbiz_GB_CG";22;0;0;0;12536.21;4888.91000002591;2139.41975402589
"21";"2014-01";"C";"SG|TH|VN|ID|MY|PH|IN";180306;"ALH_OFFEBAY_SEA_IN_Test_Till_7_Trans_WPS_Control";"APAC";"APAC_IN";"Newbie";"015_ALH_OFFEBAY_SEA_IN_Test_Till_7_Trans_WPS_Control";69;0;0;0;23399.48;545.580000005712;0
"22";"2013-12";"C";"IE|IL";182682;"ALH_OFFEBAY_IE_IL_email_NonBiz_Only_Control";"EMEA";"EMEA_UK";"Newbie";"010_ALH_OFFEBAY_IE_IL_email_NonBiz_Only_Control";32;0;0;0;32891.37;2518.03000001122;364.617923582975
"23";"2013-08";"C";"SG|TH|VN|ID|MY|PH";168087;"ALH_OFFEBAY_TIER2_Control_Exclude_IN_WPS_only";"APAC";"APAC_SEA";"Newbie";"024_ALH_OFFEBAY_TIER2_Control_Exclude_IN_WPS_only";185;0;0;0;202248.81;18377.9300001634;1114.21659422042
"24";"2014-01";"T";"CN|C2";143808;"ALH_OFFEBAY_IN_CN_C2_email_only";"APAC";"APAC_CN+C2";"Newbie";"021_ALH_OFFEBAY_IN_CN_C2_email_only";2290;2228316.14;60424.3200007229;192.87;2559517.39;64005.4760968888;192.87
"25";"2013-04";"C";"CN|C2";168076;"ALH_OFFEBAY_CN_C2_WPS_only_Control_Non_Biz";"APAC";"APAC_CN+C2";"Newbie";"013_ALH_OFFEBAY_CN_C2_WPS_only_Control_Non_Biz";323;0;0;0;1053500.39;168849.460001905;10211.4768305424
"26";"2013-06";"T";"US";130420;"ALH_GC_Throttle_00_21";"NA";"NA_US";"Newbie";"002_ALH_GC_Throttle_00_21";2647;1381699.21;59659.5000003312;13258.9898044638;1978189.99;81723.6700004973;18574.0898044638
"27";"2013-06";"T";"US";148598;"ALH_ARS_masked2_biz_US_0_21";"NA";"NA_US";"ARS_Masked_ALH";"113_ALH_ARS_masked2_biz_US_0_21";131;302164.3;7808.120000022;288.36;416037.66;8898.690000044;288.36
"28";"2013-12";"C";"CN|C2";180308;"ALH_OFFEBAY_CN_C2_wps_Till_7_Trans_Control";"APAC";"APAC_CN+C2";"Newbie";"014_ALH_OFFEBAY_CN_C2_wps_Till_7_Trans_Control";251;0;0;0;695455.4;46588.8400006543;272.2
"29";"2013-05";"C";"US";148633;"ALH_ARS_masked2_biz_US_CG_90";"NA";"NA_US";"ARS_Masked_ALH";"113_ALH_ARS_masked2_biz_US_CG_90";77;0;0;0;230585.22;2857.4100000125;64.99
"30";"2013-06";"T";"US";138436;"ALH_ARS_masked1_nonbiz_US_22_43";"NA";"NA_US";"ARS_Masked_ALH";"102_ALH_ARS_masked1_nonbiz_US_22_43";2;750;0;0;750;0;0
"31";"2013-12";"T";"IN";168090;"ALH_OFFEBAY_TIER2_APAC_Only_IN_Test_WPS";"APAC";"APAC_IN";"Newbie";"017_ALH_OFFEBAY_TIER2_APAC_Only_IN_Test_WPS";89;37520;2310.940000016;151.1;66434.88;2449.930000019;151.1
